manufacturerID,Manufacturer
2,Patagonia
3,KAVU
4,Outdoor Research
7,Rab
10,Mountain Khakis
11,Toad & Co
12,MSR
13,PackTowl
14,Platypus
15,SealLine
18,JETBOIL
20,Oboz
21,Lowe Alpine
23,Biolite
25,United By Blue
29,Cotopaxi
30,Small Adventure
31,Elevated Woodworking
32,Compas Life
33,Wilderdog
34,Aret Basewear
35,Apothecary Muse
36,ADVENTURE MEDICAL KITS
39,CRAZY CREEK
40,CRKT
41,CYPHER
42,DR. BRONNER'S
44,GIBBON
45,GU
46,HONEY STINGER
47,KLEAN KANTEEN
48,LIBERTY MOUNTAIN
50,NALGENE
51,NATRAPEL
52,NEW ENGLAND ROPES
53,OMEGA PACIFIC
54,PROBAR
55,SOL
56,SPYDERCO
57,SUUNTO
58,Chaco
59,Peppers
60,Sunski
62,Club Ride
63,Ultimate Direction
64,Immersion Research
65,Wigwam
70,prana
74,Smith
79,SMC
81,Gerber
82,Tula
86,Gear Aid
87,Yakima
89,Leafield
93,Watershed
96,Level Six
97,Werner
111,303
122,Nikwax
126,Katadyn
130,CleanWaste
131,Restop
133,Pelican
134,Aquapac
136,Primus
138,TravelChair
152,3ROC
153,Seek Dry Goods
154,Earthwell
155,Soothi
156,Native Bear
157,June December
158,Tiny Shed
159,National Geographic
160,Purple Lizard Maps
161,Scarpa
162,Rumpl
164,Sea to Summit
165,Ruffwear
166,Red Paddle
168,Grayl
169,UCO
172,Princeton Tec
173,Salomon
174,Pearl Izumi
177,Falcon Guides
178,Leki
181,Stanley
187,Coleman
188,Kelty
191,Current Designs
192,Native
193,ROVR
196,Big Agnes
201,Mountain Hardwear
206,Yeti
210,Timberland
219,Organic Climbing
221,Steel City Slackers
222,Suspenz
223,Kerf
225,Helinox
230,Sunday Afternoons
231,Fjallraven
232,PLANET BIKE
233,TOPEAK
234,KENDA
235,MUC-OFF
236,ON GUARD
284,Niterider
287,Prism
290,Discraft
291,DR. SCHOLLS
293,Little Treasures Project
295,NEOCORP
296,EDELWEISS
297,BACKPACKERS PANTRY
305,Climbing Zine
307,Lucky Dragon Industries
308,Chums
310,Wenonah
313,NATHAN
340,Purinize
341,TrailFork
342,GSI Outdoors
343,Wild Rye
344,Mountainsmith
347,COGHLANS
348,THERMACELL
349,RELIANCE
350,OLICAMP
351,Kuhl
357,STACKPOLE BOOKS
359,Counter Couture
360,Southern Top Stitch
361,Foster & Rye
362,Ruff House Art
363,WUDN
364,Enamel Co.
365,Iron Maid Art
366,OKcollective Candle Co.
367,Henderson Dry Goods
368,Light + Paper
369,SCOTT ADAMS
370,Ohiopyle Coffee Roasters
371,VSSL
372,Spruce Pup
373,Workerbird
375,OPINEL
376,THE PRINTED IMAGE
377,Jagged Edge Mountain Gear
378,Bolt MFG LLC
380,Farm to Feet
384,SCHRADE
385,Fischer Skis
387,NITE IZE
388,ENERGIZER
389,PINE CREEK PRESS
391,Taos Mountain Energy Bars
392,SLB Photography
393,Craig Peterson
395,Nittany Mountain Works
397,ULTIMATE SURVIVAL
398,PEREGRINE
399,LIGHT MY FIRE
400,NATIONAL BOOK NETWORK
401,CLIMB ON!
402,SALAMANDER
403,FOX 40
404,SPLASHGUARD
405,Cinder + Salt
406,Enchanted Leaves
407,Green Tree Jewelry
408,NUUN
409,Hoka One One
410,Food For The Sole
413,Red Cap Cards
415,Eartheasy
416,Compass Paper Co
419,Goodr
420,Zenspire
424,VICTORINOX
425,Patagonia Provisions
426,FITS Technologies
429,Jobe
430,Luumi
431,Trail Truffles
432,Nomad Nutrition
433,Savory Wild
435,Full Windsor
436,RITE IN THE RAIN
437,MAG
438,ROME
439,GARMIN
442,MOUNTAINEERS BOOKS
444,Topo Athletic
445,GRIVEL
446,ERG Foods
447,Underdog Games
449,Elder & Co
450,Ursack
452,Keep Nature Wild
453,Most Wanted USA
454,Sierra Outfitters Co.
456,Korkers
457,NOSO
459,SINGING ROCK
461,Mushers Secret
465,KURGO
467,YAKTRAX
468,JOSHUA TREE
469,HUMANGEAR
470,SUN
471,KATE'S REAL FOOD
476,Ten Tree
477,BYRD
481,Heather's Choice
482,Trail Butter
483,BEN'S
484,KT TAPE
486,HOUGHTON MIFFLIN
487,RANDOM HOUSE
490,AQUAMIRA
491,Revival Print Co.
500,Jade
502,KUJU COFFEE
506,Penguin Random House
507,Danner
508,Field Notes
513,Camelbak
530,Kind Apparel
531,ADVANCED ELEMENTS
532,SAM MEDICAL
533,Thule
535,Darn Tough
537,FRONTIERSMAN
543,LifeStraw
544,Hero Clip
546,W.W. NORTON & CO
548,Faire
550,Gransfors Bruk
551,GRABBER
554,ELEMENTAL HERBS
559,CROAKIES
563,HYDRASCAPE
565,GIBBS SMITH
567,TOADFISH
569,Gingerly Press
574,ULTRASPIRE
575,TAILWIND NUTRITION
579,Grand Trunk
580,Loving WV
581,Youer
582,Metolius
583,BENDING BRANCHES
586,Eddyline
588,Aquaglide
591,Rosalie Haizlett Illustration
593,OUTSIDE INSIDE
594,TECNU
595,Trailtopia
601,Exped
603,CLIF BAR
604,SWEETWOOD CATTLE
616,Eagles Nest Outfitters
617,Roll Recovery
619,Puffin
621,MOUNTAIN HOUSE
625,Nautidog
626,Blissed Out Design
627,Carolina Pet Company
628,Good & Well Supply Co.
630,Erik Sports
632,Bronwen
634,GRANITE GEAR
635,Nocs
636,KULA CLOTH
638,SWIX
639,The Landmark Project
643,Aurora Heat
646,BEAL
647,Sterling Rope
648,Whitewoods
649,SHOE GEAR
650,KAHTOOLA
651,Physically Fit
652,Used
653,PRIME SELECT
654,KOMPERDELL
655,HOT HANDS
656,PRISTECH
657,MUNK PACK
659,REDINGTON
660,SOUTH BEND
661,RIO BRANDS
663,DANIELSON
664,UMPQUA
666,SKYHORSE
667,WATERFORD PRESS
668,FOX CHAPEL
669,SCIENTIFIC ANGLERS
670,KOTAP
671,INNOVA DISC
672,CHOMPER
674,ICETOOLZ
675,CELESTRON
677,Osprey Packs
678,MOTOROLA
679,SEATTLE SPORTS
681,Thermarest
683,KRAVE
684,Alps Mountaineering
685,Camp
686,Garmont
687,Smartwool
688,Athletic Brewing
689,Standing Wave Coffee
691,Good To-Go
692,Recovery
693,TEVA
694,BRM
696,CLIMBINGADDICTS
697,Nightcat
698,Innov8
699,misty mountain
700,Yerba Mate
702,Cudas
703,Astral Designs
704,Buff Headwear
705,Blue Ridge Chair Works
706,SN
707,Nemo Equipment
708,IceMule
710,JELLY BELLY
711,The West Virginia Company
713,represent pa
714,Mustang Survival
715,Wolverine Publishing
716,LiquidLogic
719,BEARVAULT
720,ENOR
722,BOESHIELD
723,Black Diamond Equipment
724,BUCK KNIVES
725,BENS
726,BRUNTON
727,LANSKY
728,KIND
729,CHAMOIS BUTTR
731,PROVEN
732,POWERBAR
733,UST
734,VAPUR
735,Peak Refuel
737,Amazon
739,White Whale Books
740,Tree Pittsburgh
741,Susco Kayak Maps
742,Sticky Fingers
743,Scott Adams Enterprises (PA hikes)
744,Salt Skill
745,Rugged Outdoors Woman LLC
746,Robert Ullman
747,Recaps
748,Pstyle Company
749,Old East Provisions
750,"NRS, Inc."
752,Morrison Outdoors
753,Aqua Bound
754,Lovett Sundries
756,James Shea/JRS Strategic Marketing
757,Good Bones Studio
759,Earthbound Sports LLC
760,Dale Yohe
761,Daggerfish
762,Commonwealth Press
763,Carol Skinger
764,BrayackMedia Publishing
765,Bitty Brah
766,Best Ever Granola
767,B.C. Print Media
768,Work of Harris
769,BANANA SAVER
770,TICK PATROL
771,WHAMO
772,SILVA
773,WAKA COFFEE
774,OUTLAND PUBLISHING
775,EARTH SKYWATER
776,TEXSPORT
777,KNOG
778,CONTINENTAL
779,SERFAS
780,GRIP PRO TRAINER
781,ACECAMP
782,Superfeet
783,timex
784,ZIPPO
785,Captuer
786,Barebones
788,MAXIM CLIMBING ROPES
789,RCTC
792,Topo Designs
793,ENZEES FOOT SOOTHER
794,ALPINE CLUB WILLSPRT
795,SPORTMANS CONNECTN
796,EDUCATION OUTDOORS
797,ARTEX KNITTING MILLS
799,Kanut
800,OPTIMUS
801,SOF SOLE
802,EK
803,Orange Aglow
805,Hemlock Supply
806,BURTS BEES
807,Silipint
808,Moore Collection
809,Sackcloth & Ashes
810,Whereabouts Shop
811,Gift Republic
820,Lisa Seligaman Photography
822,C3
824,Apex
825,Joeblow
826,Silo
827,MTI
831,missing
832,Hilltop Packs
834,Logan Schmitt Illustration
835,Howler Brothers
836,"La Sportiva N.A., Inc."
838,CNOC Outdoors
839,GNARLY DOOD
840,FALCON
844,CLIMBING TECHNOLOGY
845,APEX GIANT
846,Marmot
847,Rab USA
849,ANIIU
850,MISSION BELT
851,MUSHERS
852,GoGirl
853,Stormy Kromer
855,5.10
856,NOSO PATCHES
857,AUSSIE NATURALS
858,LUNA BAR
859,UNTAPPED
860,ADVENTURE MEDICAL KITS AMK
861,RUFFIN IT
862,Stohlquist
863,Petzl
864,Camen Allen
865,Therm-a-Rest
866,Alpina
867,edd
868,OTTO DESIGN WORKS
869,HEROCLIP
870,MAGNUM
871,DR BRONNERS
872,Seatylock
873,Bedrock
874,Julbo
875,Greenbelly
876,CUTTER
877,BOBOS
878,LENNY AND LARRY
879,ORIGINAL TICK KEY
880,ORIGINAL POOP BAG
881,DERMATONE
882,BANANA BOAT
884,MUCOFF
885,SPECIALIZED
886,FISHSKI
887,LIFELINE
888,AQUATABS
889,CRANKBROTHERS
890,EVERNEW
891,LOKSAK
892,BLACK DIAMOND
893,Wild Lettie
894,injinji
895,Taylor Raye Art
896,WURU WOOL
897,AFTER BITE
898,SKY Manufacturing
899,Skratch Labs
900,Kids Ride Shotgun
901,BARGE
902,KERSHAW
903,TOYSMITH
904,ALL TERRAIN
905,Maxxis
906,EVO
907,Pirelli
908,SRAM
909,KMC
910,Lezyne
911,Cygolite
912,Polar
913,Abus
914,Kryptonite
915,Shotgun
916,Leatt
917,LIVSN
918,FLIPFUEL
920,JUNIPER
921,LEDLENSER
922,Jack & Sage
923,Yukon
924,Vans
925,Lululemon
926,Arcteryx
927,REI
928,The North Face
929,FLAME KING
930,EUREKA
931,THERMOS
932,Deuter
933,Handker Bandanas
934,Inkwell Cards
935,Ambush Candle Co.
937,Harris Wright
938,Boulder Bears
939,Pyle Style Fleece
940,Good Newts
941,Alpine Start
942,Timber Mountain Bike Bell
943,40Below
944,Mirrycle
945,Tiny Print Shop
946,HASBRO
947,ALL GOOD
948,Pro Knot
949,LUCKY BUMS
950,FLEXIBLE FLYER
951,SNOW BOOGIE
952,Tahr Equipment
953,Anti Fog USA/ Revive Revel
954,PASSENGER
955,CMI
956,EPIPHANY OUTDOOR GEA
957,ADVENTURE PUBLICATIO
958,Waterknot
959,Una Biologicals
960,Trek Light
961,Lightning Bug Gift Co.
962,Bite
963,Cactus to Pine
964,The Wild Wander
965,Wild Flowear
966,AdventureKEEN
967,Squirrel Hill Design and Craft
969,Kpump
970,CAMP SUDS
971,POTABLE AQUA
972,FOSSIL OUTDOOR
973,FOZZILS
974,MYMEDIC
975,EQUINOX
976,Alpinecho
977,MPOWERD Inc.
978,PIC CORP
979,CHUCKIT!
980,Mountain Equipment
981,Ronhill
982,TrekMates
983,Sawyer
984,dager
986,Send Bars
987,412 Place
988,Panaracer
989,Finish Line
990,Unior
991,Magura
992,Oboz Footwear
993,MVP Disc Sports
994,Little Kamper
995,Farm To Summit
996,FROGG TOGGS
997,HUMA GEL
998,Onyx
999,AeroPress
1000,TickCheck
1001,Squirrel's Nut Butter
1002,ODI
1003,Kuat
1004,Astral
1005,Hanwag
1006,Lodge
1007,every
1008,KOVEA
1009,Matthew Jacob
1010,M-Wave
1011,Wera
1012,JADE YOGA
1013,CHUCKIT
1014,MAILLON RAPIDE
1015,SaltStick
1016,UDAP
1017,WTB
1018,Beto
1019,Enlightened Equipment
1020,MW Walker Photography
1021,OUTDOOR EDGE
1022,Carolina Pine Prints
1023,MODL
1024,Rise and Pine Candle Co.
1025,Schwalbe
1026,Stahr Outfitters
1027,Turtle Fur
1028,Nitecore
1029,Pedro's
1030,Western Mountaineering
1031,Slagforce
1032,White Lightning
1033,Healthy HeartBeets
1034,Beez Nuts Balms
1035,Caffe DAmore
1036,NW Alpine
1037,#LVC Mountain Watershed Association
1038,Nature Facts Bandanas
1039,Basil
1040,Ombraz Armless Sunglasses
1041,The Colorado Mountain Club Press
1042,SKIPSTONE
1043,Coghlan's
1044,Neocorp Outdoor Sports
1045,ospry
